genes	logFC	logCPM	LR	PValue	FDR
P4HA2	P4HA2	-3.37294222859245	7.68473779261525	163.079143115757	2.4039831421666e-37	4.81640579961953e-35
ABCC5	ABCC5	2.64833176762832	6.66154412116914	162.788574758839	2.78233981821736e-37	5.51576903120922e-35
ARL1	ARL1	-2.35838925783898	7.21879684954105	162.38523571971	3.40821033793691e-37	6.63384605243078e-35
DCP1A	DCP1A	1.73347826956524	6.42486609237866	162.380240824494	3.41678472407894e-37	6.63384605243078e-35
PKM	PKM	-2.3637834572147	10.734139665868	161.353599372715	5.72678294310448e-37	1.10053574660701e-34
SCARB2	SCARB2	-2.75971154148269	8.35407485549248	161.313265361837	5.84416913933939e-37	1.11174987273918e-34
KIAA1731	KIAA1731	2.2659519728602	6.69817913936784	159.253834823894	1.64694369115595e-36	3.10168905355399e-34
CREBBP	CREBBP	2.03537594864583	5.81594303884377	158.842037595659	2.02607141919487e-36	3.77792109284129e-34
SRSF6	SRSF6	1.64914131084651	7.7841480675805	157.72864471494	3.5475919770125e-36	6.54011027638829e-34
KPNA5	KPNA5	2.48224611603722	6.01067258730888	157.712310574941	3.57686698066157e-36	6.54011027638829e-34
NDUFA1	NDUFA1	-3.17269042432377	6.01261148247776	157.20991104264	4.60555279406918e-36	8.34003613179855e-34
UBA1	UBA1	-1.81592129121238	7.901252426229	157.053360109793	4.98299031411399e-36	8.93758634149608e-34
MAGED1	MAGED1	-2.74159412049889	7.95790727743937	157.033167868872	5.03387361904711e-36	8.94367376108625e-34
DMTF1	DMTF1	1.74826800961336	7.26218687695954	156.845063708922	5.53357320728705e-36	9.73960600119972e-34
SSR2	SSR2	-2.40421488506646	7.64354498575258	156.491224791771	6.61188311171458e-36	1.15297772817519e-33
OIT3	OIT3	7.70459277050071	3.11725421813236	156.126311001927	7.94448679288907e-36	1.37264697037137e-33
SLC39A1	SLC39A1	-2.77435437720736	6.1734819504254	155.978718604403	8.55692947740001e-36	1.46502411679886e-33
ZNF44	ZNF44	1.90614505215227	5.57145841953307	155.807105879647	9.3286597572439e-36	1.58276260547905e-33
FIGN	FIGN	3.36088259173628	4.81091473071865	155.572057882486	1.04998483690236e-35	1.76556825298056e-33
THY1	THY1	-3.24907567308916	7.8818672596425	154.965681063719	1.42460192434296e-35	2.37429451691602e-33
SLC9C2	SLC9C2	8.42264957405968	3.04099348515952	154.854266979066	1.50674933966478e-35	2.48917634332515e-33
PHC3	PHC3	1.63067348449008	7.60721803358025	154.199285335582	2.09496769262046e-35	3.43082839609748e-33
FAM126B	FAM126B	2.02172864688319	6.56023969874267	154.161505689701	2.13517568769787e-35	3.46653135572534e-33
FKBP15	FKBP15	1.30289934265939	6.70995318748209	153.983429587155	2.33534028297759e-35	3.75909944865957e-33
MTF1	MTF1	2.18243801855159	5.96170348117578	153.937105906571	2.39041740934451e-35	3.81514670086315e-33
LENG8	LENG8	2.15948382054081	5.92696434116754	153.887907346342	2.4503358407626e-35	3.87791385622538e-33
SH3BP5L	SH3BP5L	-2.43151331077399	6.58976834413993	153.708695243481	2.68158067240041e-35	4.20851740027642e-33
HSPA8	HSPA8	-2.20465214001672	10.6855621214378	152.687508587684	4.48299120819783e-35	6.97753499371816e-33
MKLN1	MKLN1	1.71676869353377	7.70404462879352	152.662049568764	4.54079602255731e-35	7.00957471252638e-33
C5orf15	C5orf15	-2.1546178063872	6.27576762959436	151.913847266212	6.61691186339898e-35	1.01314065953978e-32
TOP1	TOP1	2.73426423632819	6.81331429816078	151.87887502158	6.73439884924629e-35	1.02281398006335e-32
F5	F5	10.4696504104304	2.15347745170642	151.595294811412	7.76744413436856e-35	1.1702742030605e-32
SLC10A1	SLC10A1	5.88688942776188	4.08063342881263	151.440083579691	8.39849418836346e-35	1.25530826229722e-32
MBTD1	MBTD1	3.20779353492654	6.11952495484905	150.674749593327	1.23446182495409e-34	1.83059996451656e-32
GPBAR1	GPBAR1	5.39687104890015	2.49273487891547	150.549918211188	1.31450462155711e-34	1.93406762013946e-32
UBAP2	UBAP2	2.1959326751969	6.69158804082933	149.367617782262	2.3833362604114e-34	3.47948618545178e-32
WNT2B	WNT2B	4.59804019905828	4.28951282305203	149.246285349381	2.53341593103624e-34	3.67014017147734e-32
MARCH7	MARCH7	1.69520012820157	8.43359421338193	148.385804079643	3.90658146248813e-34	5.61623272389611e-32
TMEM196	TMEM196	7.02054897349621	2.09323785388482	147.958944221751	4.84290241978058e-34	6.90957433876724e-32
RPL36AL	RPL36AL	-2.83610805026458	6.77672043666763	147.571397042483	5.88603143031097e-34	8.33470901707117e-32
KDELR3	KDELR3	-3.16337315851943	7.07091942915268	147.059539592596	7.61580106551111e-34	1.07036105572217e-31
COL6A3	COL6A3	-3.23854610104381	11.8904306065815	146.757708603017	8.86538541399671e-34	1.23675410001333e-31
PHIP	PHIP	1.4434475592099	7.64831592137732	146.046283350854	1.26830268453303e-33	1.75631944542725e-31
CSPP1	CSPP1	2.47010657353599	5.96620062120241	145.716625901352	1.49723962002421e-33	2.05821268349752e-31
SS18L1	SS18L1	2.11122460766681	5.86649351127883	145.696637578113	1.51238065393883e-33	2.06396122142247e-31
PARK7	PARK7	-2.0429160316632	6.6534105464037	145.628734395692	1.56496988419863e-33	2.12036531144696e-31
MGEA5	MGEA5	2.0068196155247	8.28300821192121	145.366745591814	1.78559078251433e-33	2.40200222907802e-31
CNTN2	CNTN2	7.46967386188001	2.46653163995954	145.183931885953	1.95771309377792e-33	2.61486600674607e-31
LBH	LBH	-2.40901720344624	6.91049384875742	145.04171794057	2.10300538116244e-33	2.78914791150932e-31
EXT2	EXT2	-2.45036828321421	7.38019062017865	144.712709304211	2.48181981704529e-33	3.26853934366531e-31
WBP5	WBP5	-3.86604688613874	6.8944889667458	144.617679847685	2.60343277256124e-33	3.40489231983651e-31
MXD1	MXD1	2.90953462062442	5.70418521253493	144.065123989825	3.43836894318037e-33	4.46584843495972e-31
UIMC1	UIMC1	1.83245751675309	6.21113512560594	143.955211109014	3.633986100959e-33	4.68759316707951e-31
RAB31	RAB31	-2.09725508537303	8.00976937480134	143.700311084774	4.1315571615391e-33	5.29317115804529e-31
COG3	COG3	1.64126432791421	7.17293265267514	143.248973253655	5.18554514258402e-33	6.59860619393816e-31
REL	REL	3.02926712271243	4.36454249688563	143.102153425341	5.58335969505501e-33	7.05714182127322e-31
INO80	INO80	1.46258892161135	6.35495551790952	142.973216367997	5.95781520489697e-33	7.43785835403781e-31
VWA3A	VWA3A	7.69882820352366	3.30109024551016	142.971303153029	5.96355658397339e-33	7.43785835403781e-31
PPP2R1A	PPP2R1A	-1.58180060819589	7.49917806343084	142.732787209853	6.72443934905222e-33	8.33166883294082e-31
ALLC	ALLC	10.8078351010055	3.2932625024062	142.703294930062	6.82502918767516e-33	8.40103102558734e-31
PPEF2	PPEF2	10.6166808176508	3.04445121064217	142.279798918731	8.44699284543389e-33	1.03300140427309e-30
PSMB1	PSMB1	-1.70795951147834	7.01554866247832	142.085082380386	9.31703274674588e-33	1.13147897846095e-30
PRPF38B	PRPF38B	1.61533884036369	6.29569228265567	142.073310584299	9.37241653692497e-33	1.13147897846095e-30
ZNF789	ZNF789	3.21366464558602	4.91635917568141	141.863977117376	1.04141443138736e-32	1.24923299275912e-30
NKTR	NKTR	1.74413618099525	7.83676625911	141.821985105595	1.06366642447454e-32	1.26245568786533e-30
SUB1	SUB1	-1.89161787885794	7.43098543082672	141.817922539284	1.06584428593739e-32	1.26245568786533e-30
FREM2	FREM2	7.2969821644323	3.10548974453993	141.660177251486	1.15394760144912e-32	1.35826844863071e-30
HSBP1	HSBP1	-1.82098146713248	7.34241292374341	141.602401282681	1.1880079680309e-32	1.38967416533701e-30
KIAA0100	KIAA0100	-1.62283616724791	7.27290988672803	141.486121888193	1.25963597329999e-32	1.46436569661474e-30
TRMT1	TRMT1	2.46896023374186	6.31205203728359	141.400799335388	1.31492750884759e-32	1.51926563031452e-30
USP15	USP15	1.72875476779013	7.8480888731505	141.350591698982	1.34859120615265e-32	1.54865964545566e-30
LDHB	LDHB	-1.73437850665159	7.86642405688721	141.054629487421	1.56529650166823e-32	1.78661994035865e-30
UQCRH	UQCRH	-2.1909359594336	6.7426546969332	140.027031309386	2.62604778623084e-32	2.97929867217382e-30
TMBIM6	TMBIM6	-1.53425270808494	9.02993069938365	140.006504650814	2.65333036262273e-32	2.99222579157329e-30
RP11-766F14.2	RP11-766F14.2	7.41519267492207	2.637776427595	139.792024791934	2.95592457201561e-32	3.31362663480774e-30
SIRT7	SIRT7	2.18069444608337	5.38856423184897	139.471975321962	3.47281814883715e-32	3.87003456787279e-30
ASH1L	ASH1L	1.48824642376825	7.84513612127449	139.426478427355	3.55329637522477e-32	3.93642533144754e-30
ZFP91	ZFP91	-1.73767415960807	6.62086324834612	139.352848229774	3.68750944797719e-32	4.06122020080436e-30
MLLT10	MLLT10	1.61122712732179	6.47958679509802	138.627788664943	5.31245005143084e-32	5.81682394294169e-30
ZBTB11	ZBTB11	1.47290887334751	6.70074221977759	138.100398963458	6.9283880885575e-32	7.54233137987303e-30
DDX5	DDX5	1.90024213856762	9.94286642625638	137.595563647091	8.93387584285702e-32	9.66963699704174e-30
DSEL	DSEL	-2.52186442690616	7.35014206822071	137.4264543839	9.72802812646216e-32	1.04690259260378e-29
C14orf166	C14orf166	-1.80030479059144	6.56525083981161	136.775515959393	1.35017720462574e-31	1.44476632356344e-29
NCOA4	NCOA4	-1.33279157006488	8.55593321278153	136.733364765527	1.37914450156806e-31	1.4674253332221e-29
FHDC1	FHDC1	4.34552986327162	4.31873260022324	136.061155551276	1.93478706628501e-31	2.04706993367111e-29
RRAD	RRAD	6.5574003527775	4.93210598465099	135.982075325605	2.01339822732731e-31	2.1183423919137e-29
ARHGAP10	ARHGAP10	1.6643676396661	6.78671603734528	135.950443901278	2.0457292688146e-31	2.1404010733103e-29
SNX19	SNX19	-1.72905591087437	6.51409346741588	135.771953890359	2.23814387168932e-31	2.32878251577486e-29
RBM26	RBM26	1.18537034636014	6.75958593420665	135.40652160727	2.69040415395491e-31	2.78397700172708e-29
SAFB2	SAFB2	2.88947406549805	6.30106606306116	135.242473353428	2.92213068699366e-31	3.00723973924325e-29
S100A13	S100A13	-2.56945315367869	5.45570041016476	135.144634493253	3.06972858774925e-31	3.14196730940661e-29
C2orf61	C2orf61	7.05638385437777	3.75552668076363	134.964072072225	3.36197732095047e-31	3.42249291272758e-29
NQO1	NQO1	-2.17918131767081	8.15992189665085	134.851930546758	3.55732809985294e-31	3.60189032820056e-29
MCFD2	MCFD2	-2.95866683673554	8.2201831625507	134.808335205765	3.63630026392715e-31	3.66216272034973e-29
ACRC	ACRC	4.04051979171864	4.96699365910321	134.664286456517	3.90992436920522e-31	3.91678753432138e-29
CD200R1	CD200R1	7.44649525918365	2.65497931701736	134.381579978536	4.50824062963113e-31	4.49225903586471e-29
IFIT2	IFIT2	4.17325420492488	4.67398875102421	134.104181742572	5.18424613485844e-31	5.13867933988363e-29
KMT2E	KMT2E	1.89144575975641	7.42377474570688	133.98859798805	5.49501459169172e-31	5.41819946624766e-29
SURF4	SURF4	-2.19687190920602	8.71268507032577	133.341810623748	7.61118931877364e-31	7.46049891279654e-29
PABPN1	PABPN1	1.93177897082746	5.91665890798402	133.332882032015	7.64549615127559e-31	7.46049891279654e-29
MPZL1	MPZL1	-1.60938359420575	7.50877864387026	133.119474728986	8.51313030314788e-31	8.26431871129814e-29
FNBP4	FNBP4	1.58638752233558	6.51328889989016	132.505062156019	1.16010487201777e-30	1.12042333613901e-28
KIAA2026	KIAA2026	1.37755493801133	6.59757593604682	132.319497943332	1.27377255849053e-30	1.22392645888021e-28
SLC23A3	SLC23A3	4.35217246407132	3.02543092454349	132.12822537196	1.40260615286723e-30	1.3408772424847e-28
TRAM1	TRAM1	-1.54353971675494	7.98501761828067	132.099034245863	1.42338305581523e-30	1.35386732778627e-28
CANX	CANX	-1.78723728485104	10.1004654965885	131.848363481547	1.61495594617807e-30	1.52836509217947e-28
AKNAD1	AKNAD1	6.29727045443862	2.32949725954945	131.649843767411	1.78480632976015e-30	1.68066288041864e-28
ATXN7	ATXN7	1.60330228238291	5.76560761127604	131.48199982339	1.94227585261946e-30	1.81984483245683e-28
CEP95	CEP95	2.10145193626831	5.78564418774786	131.291846078333	2.13752859629281e-30	1.99287505217735e-28
ALDH18A1	ALDH18A1	-1.51163559980149	6.97842013206231	131.247125531293	2.18622958793704e-30	2.02823949899597e-28
LRCH4	LRCH4	2.75007380129238	5.45364839610026	131.036295631904	2.43120098857431e-30	2.24445138322647e-28
PCF11	PCF11	2.1804059891172	7.23212498029569	131.006033461008	2.46854829088487e-30	2.2678131688895e-28
CA2	CA2	9.83676635985984	2.36241016862036	130.953759919774	2.53441698178241e-30	2.31702305912175e-28
COL5A2	COL5A2	-2.87256155184344	10.5119807637607	130.30886759695	3.5072832540065e-30	3.19095002525142e-28
SYNJ1	SYNJ1	2.00238005608061	5.73949465307276	130.276306265976	3.56529039533315e-30	3.22813048150525e-28
COX6C	COX6C	-2.20317301284533	6.36669077527506	129.788304027625	4.55896344909455e-30	4.10808414530132e-28
SWI5	SWI5	-2.77990251953437	4.17082119487336	129.708759696775	4.74537011171506e-30	4.25569311018713e-28
STT3A	STT3A	-1.97839985556626	7.86829906626621	129.337521513179	5.72132429118664e-30	5.10662087089659e-28
FAM169A	FAM169A	3.89469997678827	4.26921273733946	129.296139919177	5.84185691887204e-30	5.18960808269421e-28
KIN	KIN	2.03494014660364	5.50882101036774	129.237461968653	6.01713521796209e-30	5.32022101220094e-28
ZRANB2	ZRANB2	1.65494490245213	7.35699854812854	129.005952603989	6.76152902581143e-30	5.9243779274519e-28
NHP2L1	NHP2L1	-2.27392468881456	6.05927254745455	129.005418832668	6.76334760474783e-30	5.9243779274519e-28
ATP8B2	ATP8B2	-2.20380521389186	8.08370531894386	128.859912862846	7.27778676168421e-30	6.34548880012957e-28
ANKRD12	ANKRD12	2.28850636362835	8.16316519059087	128.794173063423	7.52287238697831e-30	6.52895187391533e-28
TRERF1	TRERF1	2.71275690154799	5.3881022427998	128.506786802469	8.69494101274853e-30	7.51155156390335e-28
FAM114A1	FAM114A1	-2.55559128599959	7.78380208315354	128.059443996219	1.08931065676788e-29	9.3675742460774e-28
PGAM1	PGAM1	-2.51435926485031	7.52878705762672	127.860384365117	1.20423077170182e-29	1.02778338566984e-27
CLASRP	CLASRP	2.43518527023608	5.35950088062812	127.857346984118	1.20607512469088e-29	1.02778338566984e-27
GPHN	GPHN	2.67154107803526	4.78176898064921	127.811206262873	1.23444256184475e-29	1.0472187732983e-27
TET2	TET2	1.83262556769045	6.52693734283453	127.479814787251	1.45877019325242e-29	1.23197394840909e-27
ARF1	ARF1	-1.49967844615642	7.93518342673983	127.437321120364	1.49034070990974e-29	1.2530172584701e-27
DNAH2	DNAH2	7.30720298459894	4.12425881925731	127.272192143187	1.6196462270416e-29	1.3556798841722e-27
PSPC1	PSPC1	2.26632717535826	6.69810209531741	127.132895180912	1.737409966611e-29	1.44781601332676e-27
PRPF40A	PRPF40A	1.60077704793514	8.53928765828426	126.88549646874	1.96807126595196e-29	1.63280555734243e-27
SERF2	SERF2	-2.76321991817713	8.12719745147144	126.388543068409	2.52808727547188e-29	2.08822226574394e-27
PRDM2	PRDM2	2.35763323035554	6.73644697272377	126.365117771823	2.55810542459975e-29	2.10379036949725e-27
NONO	NONO	-1.27384640025138	7.8024496755002	126.178501229636	2.81033268356002e-29	2.29633387295567e-27
GPATCH2	GPATCH2	1.84473262591222	6.42956005519152	126.174069851954	2.81661511523794e-29	2.29633387295567e-27
PHACTR4	PHACTR4	2.44689523180763	5.93724493071685	126.057341153012	2.98725803030957e-29	2.42495821055259e-27
DNAJC10	DNAJC10	-1.44123090620258	7.71965451974349	125.902209198486	3.23014875781251e-29	2.61087517407223e-27
STK3	STK3	1.52648374079088	6.50924317059267	125.767298108729	3.45738181078783e-29	2.78260135224646e-27
MORC3	MORC3	1.27819910998556	7.29075646685472	125.756915766034	3.47551760090155e-29	2.7852945947991e-27
GATAD2B	GATAD2B	2.25655956729751	5.55948724422474	125.633237412617	3.69901674044945e-29	2.95184670647816e-27
PRKAG1	PRKAG1	-2.0202596103096	5.80089619211258	125.382547704335	4.19710616136791e-29	3.33519410704818e-27
SMEK1	SMEK1	2.08843054577381	7.51396007278868	125.03842842363	4.9918568842402e-29	3.95006893701242e-27
C4orf22	C4orf22	3.8680873499861	3.42365871175125	124.966646572351	5.17573619345732e-29	4.07843680884443e-27
ZFC3H1	ZFC3H1	2.32259275201088	7.2942164647345	124.638596688881	6.10617492237306e-29	4.79156634637716e-27
LGALS1	LGALS1	-2.96139086625014	10.5381443689477	124.55953924849	6.35436265836778e-29	4.96563120103902e-27
WSB1	WSB1	1.51193863899921	7.29196923873227	124.421635131408	6.81168133308121e-29	5.30100803908754e-27
NFAT5	NFAT5	2.44059302014656	7.75128114908592	124.358275042088	7.03269345719079e-29	5.45048213494955e-27
DAZAP2	DAZAP2	-3.09165285549975	6.49893480143424	124.087028355958	8.06285716250826e-29	6.22327003858681e-27
