genes	logFC	logCPM	LR	PValue	FDR
UBAP2	UBAP2	2.5950124755174	6.69158804082933	609.823436737538	1.22222730732867e-134	7.42522802545836e-132
ITGB1	ITGB1	-2.63655376190702	11.5943129397807	595.978854872856	1.25439686091128e-131	7.38251752548192e-129
NRG4	NRG4	5.19758320851019	3.84150552990419	592.045408142518	8.99508309097335e-131	5.13346666219094e-128
LRRC7	LRRC7	5.4563911909352	4.31930045136341	586.436635187336	1.49277638712072e-129	8.26866402901308e-127
PSMA4	PSMA4	-2.31747102352294	6.41264747390112	583.75667025832	5.71390472206049e-129	3.07457050373044e-126
VCP	VCP	-2.25487797500206	8.83580980961665	581.420766163342	1.84092382601404e-128	9.63058844870065e-126
JMJD6	JMJD6	3.55139580829026	7.36398450621489	578.017687362286	1.01222098394198e-127	5.15220480826469e-125
DCP1A	DCP1A	1.89708282381347	6.42486609237866	576.738492659385	1.92100448754702e-127	9.52059934578239e-125
SFSWAP	SFSWAP	2.71293735612457	6.68821135688845	565.016217324517	6.81446320367772e-125	3.2906868080734e-122
CNN3	CNN3	-2.49713021593893	8.26296024222139	563.94943660499	1.162757294088e-124	5.47455202988981e-122
SEC23A	SEC23A	-1.47544015398408	9.07974636471974	559.324653165199	1.17904349756201e-123	5.32934080049201e-121
ZC3H12A	ZC3H12A	2.99232927017426	4.48046445191165	559.308685784196	1.18851119641408e-123	5.32934080049201e-121
MPHOSPH8	MPHOSPH8	1.73858143685685	6.40464985129483	559.02200019719	1.37204134604195e-123	6.00922201628094e-121
DAPP1	DAPP1	8.45656653888716	2.99119427245897	552.790493762436	3.11133744091744e-122	1.33172313692723e-119
CSTF3	CSTF3	2.77772882856988	6.50821590014632	549.037137638712	2.0391639331839e-121	8.53412763414499e-119
SCAI	SCAI	2.11624224523105	5.58312933129184	540.756390406223	1.29086725115618e-119	5.28497890022267e-117
DAGLB	DAGLB	2.1188222123891	5.79393117820881	539.345576287436	2.61698458525629e-119	1.0486312913645e-116
DHX35	DHX35	2.39220917787893	5.18032772503102	534.115284002955	3.5946196865185e-118	1.41036401158756e-115
TRMT1	TRMT1	2.77619460651683	6.31205203728359	532.298201220011	8.9323290840317e-118	3.43311333958304e-115
POLG2	POLG2	3.90892409921118	5.68412220353422	530.969435830692	1.73797357237789e-117	6.54625125771855e-115
ART3	ART3	6.69491414402068	3.46402871860815	527.657405545505	9.13261317505213e-117	3.37244125344621e-114
ABCC5	ABCC5	2.75741341530925	6.66154412116914	523.650614617259	6.79684912060945e-116	2.46163575939303e-113
CDC42	CDC42	-2.00031790685136	8.80859813449671	521.609821306808	1.88931764498843e-115	6.71349419020135e-113
ATXN2	ATXN2	2.13937868162833	6.45379505234636	520.093082091254	4.03915624243969e-115	1.40869313914568e-112
CDR1	CDR1	3.78372412938355	8.08168324791915	518.719728225425	8.03679002139245e-115	2.75194302677971e-112
ZNF44	ZNF44	2.01755703410715	5.57145841953307	515.883701744339	3.32739122909766e-114	1.11901355388565e-111
MASP2	MASP2	5.01369158309473	3.96507890222421	510.20403843784	5.72560996846183e-113	1.89176162343933e-110
COG3	COG3	1.79768503562546	7.17293265267514	510.168576977805	5.828236322487e-113	1.89246852864479e-110
RPN2	RPN2	-1.79537610229288	8.37677137425227	510.105969345404	6.01393561390928e-113	1.91966863418226e-110
COL4A3BP	COL4A3BP	2.05104794541932	6.73865247271318	509.073909611032	1.00856936316622e-112	3.16573113608489e-110
FRS2	FRS2	1.95289352781598	7.84364434051346	507.462091353864	2.26148438355512e-112	6.98205498286781e-110
MLLT10	MLLT10	1.79691290898291	6.47958679509802	506.850181438973	3.07276338401628e-112	9.33376658244816e-110
EFCAB13	EFCAB13	3.5256558585517	3.71483336798686	500.932358679223	5.95810620037609e-111	1.78109546145528e-108
KLB	KLB	5.64954089302942	3.99401899512684	500.355104577654	7.9562195908038e-111	2.34124193052512e-108
SYNJ1	SYNJ1	2.29113771415687	5.73949465307276	499.423550828572	1.26880284217793e-110	3.67620983488262e-108
KIAA0907	KIAA0907	2.48149600028495	7.04596706195213	497.837645690726	2.80838708448109e-110	8.01368999424733e-108
GHITM	GHITM	-2.22335251458138	7.15353154083338	496.432002416988	5.67936867840248e-110	1.59641119881125e-107
OIT3	OIT3	7.95775214755882	3.11725421813236	496.215831367822	6.32900164868648e-110	1.75285423602518e-107
SCARB2	SCARB2	-2.79333464319191	8.35407485549248	494.465632942674	1.52107333428999e-109	4.15164842096861e-107
CCNL1	CCNL1	2.09819512394341	7.92247241402556	491.360510178176	7.20744654417871e-109	1.93911201095025e-106
CLASRP	CLASRP	2.79399894289199	5.35950088062812	491.121567060585	8.1240477058845e-109	2.15493225978764e-106
PABPC1	PABPC1	2.61470885530757	9.99743672314207	488.089579422527	3.71107312926633e-108	9.70703336714901e-106
ZBTB11	ZBTB11	1.60760256584655	6.70074221977759	487.837096340335	4.21150594556812e-108	1.08651084209431e-105
AGBL3	AGBL3	4.50996412199311	3.80021636196794	485.88508841757	1.11989585730463e-107	2.85013495684029e-105
TET2	TET2	2.09433243917622	6.52693734283453	485.080095015263	1.67624820061591e-107	4.2091709816266e-105
PCF11	PCF11	2.44817734561619	7.23212498029569	484.238456881931	2.55548461936175e-107	6.33255813637368e-105
TTN	TTN	2.63268802499266	6.50774030722862	483.880172236006	3.05797451450852e-107	7.47932909503104e-105
ARMCX2	ARMCX2	-2.83978180568982	6.33947733964795	483.630205682214	3.46597283485102e-107	8.36854697419862e-105
BEND4	BEND4	9.82430235329433	2.60253107965553	482.718987030283	5.47143961867155e-107	1.30434964985369e-104
POLR2A	POLR2A	3.49883941808352	8.15947118407274	481.546861083522	9.8435391125328e-107	2.31729215132913e-104
USP49	USP49	3.27972360157606	4.67999978513242	476.850775505207	1.03517205360204e-105	2.40683892413422e-103
ASH1L	ASH1L	1.59214885064797	7.84513612127449	476.756460407466	1.08526445005605e-105	2.49253480340312e-103
AKAP8L	AKAP8L	2.33745479303687	6.32424014489432	475.980791367574	1.60074472692654e-105	3.63214764363947e-103
USP44	USP44	5.74619507266155	4.0061350957068	474.609807529207	3.18164110285268e-105	7.1333151059553e-103
SS18L1	SS18L1	2.22259551164444	5.86649351127883	472.488342882863	9.21064666801814e-105	2.04075421998571e-102
UIMC1	UIMC1	1.90641293686837	6.21113512560594	470.970959978354	1.97006786778592e-104	4.31421955279211e-102
MMP14	MMP14	-4.21477914579804	9.90936640080635	470.247873027564	2.8302823667588e-104	6.12674802450213e-102
SNX17	SNX17	-1.70232685399779	6.68799160184005	468.216328082604	7.83267889444604e-104	1.67628229112616e-101
RP11-766F14.2	RP11-766F14.2	9.10020185276041	2.637776427595	467.337172075058	1.21681067707749e-103	2.57485342487645e-101
DNAJC10	DNAJC10	-1.60621321144277	7.71965451974349	467.20639912692	1.29921345989584e-103	2.71867634335759e-101
LAT2	LAT2	5.57333223593055	4.66853518784193	465.965975581021	2.41885537085001e-103	5.00596738452948e-101
ACRC	ACRC	4.48961794640604	4.96699365910321	465.843815025198	2.57154082593165e-103	5.26411177986638e-101
MAGED2	MAGED2	-2.91644800902748	7.98791792797253	465.320990149054	3.34169040478817e-103	6.76710273047051e-101
SLC10A1	SLC10A1	6.0699613264746	4.08063342881263	464.682326214999	4.60200724468862e-103	9.22017047225752e-101
FBXW7	FBXW7	2.76790721073835	7.41319639355067	464.306986496663	5.55425740677979e-103	1.10108768149351e-100
MAGED1	MAGED1	-2.71928857529574	7.95790727743937	462.175174592258	1.61636005745679e-102	3.17092801688373e-100
LENG8	LENG8	2.187832573538	5.92696434116754	460.914541176343	3.03998707716112e-102	5.90227594063664e-100
ZNF267	ZNF267	1.92087782921625	5.78138646617333	460.76937159024	3.26936208885205e-102	6.28284655299496e-100
YKT6	YKT6	-1.4644080166127	7.54660472750008	460.64148291387	3.48572976732885e-102	6.63098471799032e-100
PABPN1	PABPN1	2.08070884381347	5.91665890798402	459.670913267028	5.66899766080259e-102	1.06764232945895e-99
PNISR	PNISR	1.86228277082594	7.52986416199408	458.541247742406	9.98486125793256e-102	1.86183061456083e-99
GBA	GBA	-2.79032030499976	5.71203693968198	458.211418562677	1.17792898090542e-101	2.17489573503841e-99
WDR74	WDR74	3.16231335997977	6.04579584237782	457.481680660455	1.69794759930307e-101	3.10460651822084e-99
CSPP1	CSPP1	2.52827074956804	5.96620062120241	455.039007309257	5.77432948631875e-101	1.04565333861386e-98
SAFB2	SAFB2	3.07403289758318	6.30106606306116	454.857930535802	6.32277802651629e-101	1.13406551022268e-98
TOP1	TOP1	2.73130454549648	6.81331429816078	453.681016002605	1.14033331144783e-100	2.02602804287708e-98
GON4L	GON4L	2.23138633119085	7.44136086077788	453.098044128675	1.52721625030629e-100	2.68804333102975e-98
FKBP15	FKBP15	1.29471338553758	6.70995318748209	452.784652998466	1.78690779860283e-100	3.11600320102657e-98
DCAF4L1	DCAF4L1	5.91157033647495	3.31246408482813	452.405085783149	2.16125211677731e-100	3.73420744176762e-98
PAFAH1B1	PAFAH1B1	-1.95167944393591	7.5865739259039	451.628820581132	3.18889751019268e-100	5.45968243722352e-98
STK3	STK3	1.66228880152025	6.50924317059267	449.092821853833	1.13643103320258e-99	1.92814465300037e-97
ALLC	ALLC	10.9656327039264	3.2932625024062	447.404056186509	2.64891716805128e-99	4.45420152017052e-97
MBTD1	MBTD1	3.19630364320791	6.11952495484905	447.377664417888	2.68418243945667e-99	4.47355821967145e-97
RBM6	RBM6	2.16306348006097	6.99197217343147	446.178511558459	4.89536421871812e-99	8.08722757290512e-97
NRBP1	NRBP1	-1.58162815025442	7.42089828100733	443.649497821093	1.73853006429824e-98	2.8471075392112e-96
FNBP4	FNBP4	1.68206433821065	6.51328889989016	443.240393307325	2.1341137285157e-98	3.4648072283738e-96
MGEA5	MGEA5	2.02463019808353	8.28300821192121	443.106126587581	2.28264672088562e-98	3.67428082858452e-96
CD59	CD59	-3.13339458245392	10.210974049942	442.699258164161	2.79890170823425e-98	4.46709456535386e-96
IMPG2	IMPG2	4.6499073387652	3.8394605461967	441.018215042404	6.49896141886742e-98	1.02852891093723e-95
RRAD	RRAD	7.13318178726771	4.93210598465099	440.016565361552	1.07359617849278e-97	1.68491973579621e-95
VWA3A	VWA3A	7.69623962232492	3.30109024551016	439.686124796876	1.26694456665326e-97	1.97193115899015e-95
MMP2	MMP2	-2.67886911433982	9.88819230657651	439.106692085451	1.69381077634642e-97	2.61471625827313e-95
MIER3	MIER3	1.47070040228876	6.62349119419092	439.071997547246	1.72351788879297e-97	2.63894409753155e-95
GPHN	GPHN	2.88071165670506	4.78176898064921	438.821276268021	1.95426161869406e-97	2.96811363426332e-95
FAM126B	FAM126B	1.96845206700349	6.56023969874267	434.997013969241	1.3283202911068e-96	2.00130048339315e-94
TMEM196	TMEM196	7.55541157133163	2.09323785388482	434.114833641943	2.06682949229331e-96	3.08925395463174e-94
ARHGAP10	ARHGAP10	1.70142118721036	6.78671603734528	434.051716969228	2.1332496901169e-96	3.16342452078516e-94
YWHAQ	YWHAQ	-1.99547882438148	8.9995528154956	433.702767443557	2.5409081403585e-96	3.73850960995091e-94
KIAA2026	KIAA2026	1.44815804453612	6.59757593604682	433.105028726885	3.42834401894236e-96	5.0051165045536e-94
RAPSN	RAPSN	5.76844929270822	2.65054978292752	431.868966811556	6.36956254476885e-96	9.22753626197168e-94
PHIP	PHIP	1.42629519143586	7.64831592137732	428.532822304082	3.39016156309688e-95	4.87381013113004e-93
MYSM1	MYSM1	1.69766552194192	6.64354160255482	427.594287667837	5.42618381630081e-95	7.74176665245402e-93
EXT2	EXT2	-2.42673465684007	7.38019062017865	426.86522300753	7.81947736484567e-95	1.10724975347473e-92
SPTY2D1	SPTY2D1	1.99475150126274	7.22439553890674	426.49660649365	9.40607665233013e-95	1.32197493726368e-92
COL6A3	COL6A3	-3.17826921552419	11.8904306065815	426.256609018859	1.06082797387499e-94	1.47989431348057e-92
FREM2	FREM2	7.08405431562755	3.10548974453993	424.958059229128	2.03367204143099e-94	2.81618717325513e-92
SLC9C2	SLC9C2	7.74907578469889	3.04099348515952	424.923186620157	2.06952723503815e-94	2.84492017645792e-92
CEP85L	CEP85L	1.60884808503885	6.50046409522749	424.860409249711	2.13567425765739e-94	2.91457632568562e-92
CA2	CA2	8.5757422036925	2.36241016862036	424.020086979096	3.25414266777022e-94	4.4090121483537e-92
SSR2	SSR2	-2.27451036235811	7.64354498575258	423.6552010872	3.90711888663687e-94	5.25591214228802e-92
ANKRD12	ANKRD12	2.40372633210091	8.16316519059087	422.990162001678	5.45264939805916e-94	7.28296071728e-92
MARCH7	MARCH7	1.64670784578165	8.43359421338193	422.025186911615	8.84388078379927e-94	1.17293525916403e-91
MTF1	MTF1	2.08366008941662	5.96170348117578	421.598156763622	1.09544379976603e-93	1.44269182384572e-91
SLC39A1	SLC39A1	-2.61092157630239	6.1734819504254	421.224796266914	1.32085695765329e-93	1.72747910301975e-91
UBA1	UBA1	-1.7097785568906	7.901252426229	421.059872439909	1.43467384276089e-93	1.86339396418729e-91
PEX5L	PEX5L	4.67825354433805	2.68478323874236	420.687183282579	1.72931053100879e-93	2.23069213907456e-91
NUCB2	NUCB2	-1.93924155421686	6.59670037460451	420.262955585715	2.13900064464778e-93	2.74039449936405e-91
VOPP1	VOPP1	-2.49566347649473	6.24810735112782	419.470042365842	3.18271670219939e-93	4.05000700354872e-91
KPNA5	KPNA5	2.32323691774144	6.01067258730888	419.313645015171	3.44222957887949e-93	4.35083957443204e-91
ZNF394	ZNF394	2.11243117020511	5.6334493266146	418.267718244483	5.81433042794374e-93	7.29299839566681e-91
DMTF1	DMTF1	1.64785843397526	7.26218687695954	418.256398731894	5.84741017228104e-93	7.29299839566681e-91
PLOD3	PLOD3	-2.23103806332347	6.53102259185512	417.88796013918	7.03330491128858e-93	8.71435732857223e-91
FHDC1	FHDC1	4.5054438966702	4.31873260022324	416.150620500407	1.68003497618287e-92	2.06798030761124e-90
ZNF211	ZNF211	2.42170916586127	5.27596489037726	416.085107536166	1.73611427352028e-92	2.1231324748836e-90
BCAP31	BCAP31	-2.18988675635578	6.74608371690111	414.932567178198	3.09349006770238e-92	3.75869022226058e-90
GPATCH2	GPATCH2	1.93709824539143	6.42956005519152	414.55765303281	3.7329799378861e-92	4.50661610065442e-90
KIAA1731	KIAA1731	2.09494573630911	6.69817913936784	414.497321619097	3.84758222251466e-92	4.615383184498e-90
IMPAD1	IMPAD1	-1.47784210486397	8.1015171348116	414.271556167403	4.30853868394278e-92	5.13561449586673e-90
ZSCAN4	ZSCAN4	9.52445868830637	3.21560259397358	413.93764510448	5.09345088298018e-92	6.03301638233746e-90
TUFT1	TUFT1	4.22636732314602	6.05494954510483	413.794320425697	5.47279929681536e-92	6.44182682230773e-90
ZNF124	ZNF124	3.38474000754149	6.40021514925487	411.216378643708	1.99229216137878e-91	2.3304868493942e-89
ARL1	ARL1	-2.14693629293219	7.21879684954105	410.054809019466	3.56612002967965e-91	4.14572459993561e-89
SIRT7	SIRT7	2.1198651686238	5.38856423184897	409.523922606294	4.65325054232509e-91	5.37635996709254e-89
SLC26A3	SLC26A3	6.27867603092116	2.64026896098452	408.647832263994	7.21871389655667e-91	8.28963651303975e-89
CDYL	CDYL	2.04678077762278	6.90492951592746	408.575270707508	7.48608486285826e-91	8.54457189225512e-89
YY1AP1	YY1AP1	2.45080613724883	6.73240265619638	408.333727783406	8.44953707976372e-91	9.58615251946929e-89
MPP6	MPP6	2.79615899133973	6.69334349180357	407.631686133597	1.2012991584267e-90	1.35473455393114e-88
PPIB	PPIB	-2.45962009827398	7.44106858738579	406.86641197946	1.76292733744843e-90	1.9762625325099e-88
COLEC11	COLEC11	6.97283466628892	3.79586619313187	405.083219430461	4.30922236887127e-90	4.80210561378417e-88
RBM26	RBM26	1.18308985480326	6.75958593420665	404.971783413701	4.5567623769299e-90	5.04808857910122e-88
PPEF2	PPEF2	8.28226965370224	3.04445121064217	404.663331234545	5.31863968999547e-90	5.85765738489384e-88
SYT6	SYT6	10.8399514683082	3.00031939729128	403.728236852035	8.49872239230571e-90	9.30560690780776e-88
TMBIM6	TMBIM6	-1.49831332194287	9.02993069938365	402.104557032216	1.91779424398003e-89	2.08773520213155e-87
CMTR2	CMTR2	-1.80910298385694	5.47341896498984	401.875549940032	2.15106416974413e-89	2.32821790280409e-87
INTS6	INTS6	2.4560000291021	7.93649093660397	399.586698145873	6.77493893436971e-89	7.29099571148485e-87
PCNXL2	PCNXL2	2.27094427838273	5.69918675304411	399.422010196712	7.35793574589015e-89	7.87340931263347e-87
PHC3	PHC3	1.51016898457101	7.60721803358025	398.802587936569	1.00368439123699e-88	1.06793153334272e-86
WNT2B	WNT2B	4.33566867643082	4.28951282305203	398.358341086869	1.2540214781423e-88	1.32679699426146e-86
KMT2E	KMT2E	1.8822383477027	7.42377474570688	397.434895468772	1.99218699462058e-88	2.09602556813907e-86
FAM169A	FAM169A	3.93553078698217	4.26921273733946	397.098168822194	2.35848166117722e-88	2.46762695138614e-86
CANX	CANX	-1.78732733039347	10.1004654965885	396.033100552471	4.02243869867084e-88	4.18533635425789e-86
SURF4	SURF4	-2.18438817125819	8.71268507032577	395.700853700771	4.75135260643466e-88	4.91660569433977e-86
ATAD2B	ATAD2B	1.89783195836475	5.96177901601286	394.645941543837	8.06241783119448e-88	8.29724125764402e-86
YBX1	YBX1	2.12141578136736	10.2778939562569	394.126121363497	1.0462310308102e-87	1.07085157626351e-85
THY1	THY1	-2.93619502407757	7.8818672596425	393.332198646493	1.55761954406777e-87	1.58565669586099e-85
MRFAP1	MRFAP1	-2.15731701540791	7.07689187689962	390.558379171052	6.25630136094434e-87	6.33467330810026e-85
ILKAP	ILKAP	1.70314027374908	5.19619312636347	389.830803771623	9.0097243619775e-87	9.07380421973916e-85
ZNF461	ZNF461	2.72083611973108	5.11800803800043	389.568649137265	1.02750275953428e-86	1.02930635480367e-84
PHACTR4	PHACTR4	2.4717670310133	5.93724493071685	388.369169796502	1.87461830331677e-86	1.86797283102459e-84
CNOT4	CNOT4	1.83973224564362	5.85904680330792	387.982041261547	2.27610454580541e-86	2.25609878479754e-84
CEP95	CEP95	2.08939574931522	5.78564418774786	387.521704439733	2.86688029797233e-86	2.82680401317869e-84
ZNF418	ZNF418	2.94615687192524	4.16086238209302	387.010045313386	3.70510364858067e-86	3.63428213613124e-84
USP15	USP15	1.64506519041974	7.8480888731505	386.53904496037	4.69180412813712e-86	4.57827705415577e-84
KIAA0100	KIAA0100	-1.54201960248167	7.27290988672803	386.306582879771	5.27167144499695e-86	5.11759733626946e-84
PSPC1	PSPC1	2.27827949739146	6.69810209531741	384.93650737238	1.04766878569716e-85	1.01183314056588e-83
EFEMP2	EFEMP2	-1.98983972978746	7.40642112533364	384.205484218205	1.51138224949833e-85	1.45223785228582e-83
SNX19	SNX19	-1.68113476451605	6.51409346741588	384.130094034556	1.5695945507448e-85	1.50051645554197e-83
SH3BP5L	SH3BP5L	-2.20202947639626	6.58976834413993	384.023333416612	1.65588550821368e-85	1.57501473617112e-83
PKM	PKM	-2.08276488183295	10.734139665868	383.678841589761	1.96802057310964e-85	1.86249906800873e-83
NKTR	NKTR	1.65130943966106	7.83676625911	382.949140495928	2.83722292052171e-85	2.67167096310927e-83
SLC17A8	SLC17A8	8.74925070432174	2.58577434362025	382.561156502643	3.4463715112778e-85	3.22913008317885e-83
NFATC3	NFATC3	2.44337505542487	6.50419536496258	380.285527101257	1.0784439262892e-84	1.00546210216854e-82
SLC16A2	SLC16A2	-2.22818581257434	5.24572812229892	379.654136390668	1.47999850127331e-84	1.37304491499903e-82
ATF3	ATF3	4.08601443125172	4.24628151537829	378.03804771634	3.32745321298137e-84	3.07185913529795e-82
TRAPPC13	TRAPPC13	1.76092371651234	5.74281905448602	377.578260552821	4.19002250841912e-84	3.84930214151499e-82
EIF4A2	EIF4A2	2.94669954775542	10.427560772614	377.068434424392	5.41022790361708e-84	4.94615641304954e-82
RNGTT	RNGTT	2.26084355454954	7.18500457040273	375.115903363476	1.43987146899421e-83	1.31000480075207e-81
DNAH2	DNAH2	7.43832887081829	4.12425881925731	374.228539488265	2.24659051112813e-83	2.03413649500365e-81
CD200R1	CD200R1	6.60487952464748	2.65497931701736	373.304669476468	3.57004467692661e-83	3.21696896653392e-81
SMEK1	SMEK1	2.08292803206193	7.51396007278868	372.921300905986	4.32656282174516e-83	3.88010274390126e-81
BCL2L11	BCL2L11	7.19101221897906	6.60145680602161	372.777854350434	4.6491669167027e-83	4.14965689773754e-81
F5	F5	9.69538536685307	2.15347745170642	372.674328515506	4.89683512942465e-83	4.3500988675686e-81
SUB1	SUB1	-1.76029444154132	7.43098543082672	372.623546999674	5.02310183043251e-83	4.44131815833499e-81
KLHL15	KLHL15	1.93342553028239	5.91564414367411	372.035207915597	6.74635979839257e-83	5.93711187304333e-81
C2orf61	C2orf61	6.32281592874529	3.75552668076363	371.637948475717	8.23311256359559e-83	7.21182367024166e-81
PPP2R1A	PPP2R1A	-1.46381574836878	7.49917806343084	370.187014761334	1.70402209995305e-82	1.47902819571782e-80
MKLN1	MKLN1	1.53537792745073	7.70404462879352	370.186824352663	1.70418477391157e-82	1.47902819571782e-80
P4HA2	P4HA2	-2.87471593970994	7.68473779261525	369.927858413879	1.940446033976e-82	1.67634954852615e-80
CD44	CD44	-1.43035146461984	9.83904153878475	368.382111616071	4.21173088298398e-82	3.62189624288754e-80
PRDM2	PRDM2	2.32572289458424	6.73644697272377	367.888116141924	5.39535707649579e-82	4.61867090098387e-80
ATP5A1	ATP5A1	-1.39489115358673	8.46883646756517	367.443590512285	6.74231189560052e-82	5.7456090465993e-80
FGFR1OP2	FGFR1OP2	1.79098167245542	7.12114273043232	366.561047092402	1.04947012886679e-81	8.90300492655326e-80
HSPA8	HSPA8	-1.9539671246049	10.6855621214378	366.268162670779	1.21546305419537e-81	1.02649397756329e-79
RRN3	RRN3	2.08514155612164	7.61564458401828	366.188839583695	1.26477517112897e-81	1.06337101776214e-79
ANKAR	ANKAR	3.41956815881564	4.85145264316132	365.710690732475	1.60740098184961e-81	1.34543034182994e-79
PTBP2	PTBP2	2.62716229780477	6.57801151485675	364.233425217134	3.37118462399203e-81	2.80927079750628e-79
STRAP	STRAP	-1.32881832532653	7.2172638717892	364.198892944489	3.43005909146724e-81	2.84574021451993e-79
BRWD3	BRWD3	1.76819947851183	5.9588945372287	363.814535869725	4.15902685506185e-81	3.4353926649728e-79
EFCAB8	EFCAB8	7.32447228098262	3.30212205733734	362.57711536221	7.73445974484006e-81	6.36083320412982e-79
KANSL1	KANSL1	2.3681371583597	5.42601811322481	362.363870096498	8.60721515603959e-81	7.04781230581276e-79
SCAPER	SCAPER	2.671143463136	5.52746471554655	361.63264981089	1.24188495009666e-80	1.01248568247491e-78
CPO	CPO	6.13155150382881	3.41861619085758	360.376350611033	2.33149675173434e-80	1.89263268644021e-78
MDH1	MDH1	-1.63624838049394	6.72124161237765	359.412968442003	3.77927659825815e-80	3.05472601609424e-78
BTLA	BTLA	7.14043926926886	3.10996821457261	358.931801400776	4.81040983078304e-80	3.87155762150158e-78
RBM5	RBM5	1.22964559500821	7.09994385918823	357.924540028828	7.97100312234548e-80	6.38799582140989e-78
SEMA4D	SEMA4D	4.0775779111559	4.39113015292429	357.096765353358	1.20715203720912e-79	9.63317555794889e-78
KIAA1841	KIAA1841	2.03063893185205	6.02769505351555	356.597516976311	1.55050974696595e-79	1.23209915884429e-77
FIGN	FIGN	2.89852227304482	4.81091473071865	356.011569327655	2.08001535343848e-79	1.64592139291205e-77
SLC39A6	SLC39A6	-2.15467665006778	7.43759507946124	355.707311979418	2.42281255050146e-79	1.90915601521314e-77
IRF4	IRF4	7.16623038266927	4.39716528727423	355.035539960564	3.39313749746738e-79	2.66262327040847e-77
NVL	NVL	2.27080376311424	6.17827430344443	354.818375588675	3.78346941355974e-79	2.95660080770002e-77
CREBBP	CREBBP	1.73744053994638	5.81594303884377	354.559081852716	4.30876698692202e-79	3.35318217622737e-77
DNAH12	DNAH12	6.48392459953335	2.95843577960809	354.253105653224	5.02320990786714e-79	3.89309103682559e-77
MBTPS1	MBTPS1	-1.91003943413965	6.83677498249445	353.184665585702	8.58306488427053e-79	6.62478938383061e-77
TRIM52	TRIM52	3.0368356430523	4.6922285819503	351.43223884144	2.06657466876644e-78	1.58856329538279e-76
