GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
ASPH	0.74	0.675	0.135	-0.13	0.522	0.495	-0.29	-0.429	1.315	1.159	0.424	0.413	1.246	1.259	-0.599	-0.738	1.658	1.643	0.386	0.427	0.378	0.43	-0.781	-0.699	-0.434	-0.383	-0.585	-0.697	-1.62	-1.895	-1.915	-2.112
ASPHD2	0.508	0.334	-1.258	-1.365	0.969	1.205	-0.348	-0.477	0.959	1.037	-0.734	-0.824	0.977	0.661	-1.365	-1.009	0.934	1.144	-0.346	-0.075	0.919	0.954	-0.982	-1.287	-0.991	-1.628	-1.188	-1.133	1.017	0.942	1.105	1.346
ATF3	0.842	0.751	-0.133	-0.155	0.399	0.61	0.065	0.034	0.55	0.502	-0.468	-0.369	1.027	1.082	-1.06	-1.206	1.505	1.512	-0.274	-0.163	1.368	1.518	0.175	0.133	-0.372	-0.229	0.043	0.041	-1.631	-1.602	-2.093	-2.399
ATP10A	1.06	1.052	-0.291	-0.475	0.885	0.787	-0.16	-0.145	1.285	1.306	0.031	0.039	1.141	1.091	-0.736	-0.504	1.523	1.502	-0.335	-0.348	0.964	0.953	-1.6	-1.829	-0.775	-0.617	-0.956	-1.058	-0.253	-0.219	-1.373	-1.95
ATP10D	0.916	0.852	-0.441	-0.501	0.595	0.745	-0.285	-0.173	1.387	1.169	0.458	0.517	1.051	1.053	-0.894	-0.528	1.543	1.704	0.311	0.168	0.827	0.949	-0.592	-0.771	-1.003	-0.937	-0.844	-0.71	-1.7	-1.412	-1.832	-1.622
ATXN7	1.776	2.064	-0.745	0.003	0.447	0.251	-0.237	-0.677	1.008	1.212	-1.177	-0.289	0.884	1.16	-0.077	-0.441	1.588	1.56	-0.665	-1.786	0.307	0.964	-0.493	-0.937	-0.409	-0.273	-0.893	-0.409	-1.742	-1.033	0.023	-0.965
AZI2	0.042	-0.045	-0.411	-0.76	0.656	0.667	-0.688	-0.58	2.298	2.082	0.232	0.081	1.047	0.961	-1.295	-1.065	1.205	1.241	-0.54	-0.228	1.249	1.443	-1.086	-1.439	-0.548	-0.867	-0.576	-1.101	0.253	-0.156	-1.051	-1.022
B2M	0.767	0.795	-0.417	-0.353	0.591	0.643	0.092	0.062	1.132	1.151	-0.122	-0.108	0.901	0.916	-1.351	-1.347	1.513	1.51	-0.02	-0.049	1.171	1.163	-0.309	-0.331	-0.417	-0.353	-0.619	-0.611	-0.475	-0.469	-2.523	-2.534
BATF2	1.116	1.128	-0.912	-1.164	0.996	0.972	-0.676	-0.806	1.442	1.476	-0.697	-0.517	1.124	1.161	-0.924	-1.164	1.368	1.383	-0.68	-1.164	1.368	1.355	-0.633	-0.638	-0.308	-0.315	-0.817	-1.164	0.009	-0.406	-0.752	-1.164
BATF3	1.005	0.729	0.087	-0.722	-0.193	0.916	-0.322	-0.209	1.315	0.256	-0.9	-1.435	0.996	1.123	-1.913	-1.036	1.678	1.174	-0.725	-1.846	1.444	1.622	0.165	-0.273	0.142	-0.361	-1.499	-0.358	-0.132	-0.098	-1.198	0.568
BAZ1A	0.593	0.524	-0.432	-0.721	-0.011	-0.205	-0.975	-1.037	1.065	1.037	-0.346	-0.268	0.907	0.918	-0.505	-0.634	1.21	1.236	-0.951	-0.794	1.404	1.482	0.486	0.545	0.652	0.707	0.576	0.681	-1.502	-1.714	-1.882	-2.047
BAZ2A	1.316	1.489	-0.841	-1.216	0.743	0.437	-0.824	-0.418	0.345	0.426	-1.488	-0.868	-0.337	-0.388	2.184	1.929	0.798	0.903	-1.216	-1.723	0.944	0.644	-0.207	-0.275	-0.688	-1.055	-0.936	-0.177	-0.2	-0.984	0.784	0.897
BBX	1.334	1.299	-0.504	-0.523	-0.584	-0.407	-1.679	-1.789	1.944	2.047	0.115	0.406	0.991	1.133	-0.53	-0.545	1.383	1.228	-1.183	-1.419	0.523	0.57	-0.312	-0.327	-0.86	-0.681	-0.679	-0.642	-0.409	-0.599	0.374	0.326
BCL2L13	0.773	1.208	-0.791	-0.515	0.492	0.573	-0.053	-0.343	0.998	0.962	-0.943	-0.591	1.217	1.229	-0.921	-0.487	1.786	1.899	-0.935	-1.108	1.514	1.724	-0.404	-0.242	-0.758	-0.659	-0.612	-0.553	-0.997	-0.959	-1.24	-1.264
BCMO1	1.503	1.458	-0.17	-1.401	0.376	-0.771	-0.015	-0.349	1.559	1.637	-0.424	-0.87	1.645	1.636	-0.77	-1.509	-0.184	0.317	-0.496	-1.628	0.524	0.853	-1.978	-0.224	0.84	-0.07	-0.512	0.062	-1.101	-0.356	0.02	0.397
BIRC2	1.092	0.896	-0.218	-0.376	0.626	0.497	-0.371	-0.063	1.242	1.297	-0.163	-0.453	0.99	1.362	-0.81	-0.734	1.646	1.497	-0.397	-0.561	0.928	0.913	-0.432	-0.224	-0.13	-0.309	-0.198	-0.459	-1.244	-1.171	-2.349	-2.323
BLZF1	1.122	1.192	-0.605	-0.123	0.431	0.385	0.144	-0.39	1.377	1.465	-0.304	-0.725	1.23	1.459	-0.894	-0.366	2.023	1.862	-0.551	-0.623	0.78	0.369	-1.179	-1.145	-0.739	-0.33	-0.404	-0.842	-0.731	-0.858	-1.283	-1.749
BMPR1A	1.198	0.364	-0.298	-0.57	0.031	-0.752	-0.69	-0.97	1.824	1.307	0.601	0.154	1.544	1.48	-0.169	-0.323	1.196	1.096	-0.545	-0.447	0.636	0.953	-0.322	-0.325	0.221	0.041	0.005	-0.0	-1.665	-2.08	-1.731	-1.764
BNIPL	0.121	-1.489	0.152	0.537	-1.314	0.018	1.437	1.665	-0.642	-2.223	0.621	0.64	0.495	-0.246	0.372	-1.63	0.068	0.036	0.738	-1.507	-2.065	0.495	0.626	0.04	-0.095	-0.331	0.834	-0.746	0.033	1.802	0.565	0.992
BST2	1.13	1.09	-0.598	-0.651	1.068	1.002	-0.569	-1.11	1.382	1.404	-0.661	-0.707	1.259	1.244	-0.625	-1.277	1.295	1.323	-0.541	-0.488	1.144	1.116	-0.81	-0.995	-0.51	-0.415	-0.994	-1.131	0.205	0.238	-1.131	-1.686
BTC	0.877	0.999	-0.564	-0.276	0.52	0.802	-0.904	-0.517	1.615	1.552	0.668	0.79	0.947	0.977	-0.895	-0.781	1.455	1.423	-0.612	-0.428	1.04	1.005	-1.596	-0.849	-1.068	-0.811	-0.847	-1.596	-0.676	-0.062	-1.596	-0.596
BTN3A1	1.03	1.122	-0.766	-0.671	0.799	0.743	-0.683	-0.631	1.378	1.424	-0.303	-0.17	1.156	1.2	-1.363	-1.47	1.749	1.756	-0.054	-0.206	1.042	1.053	-1.33	-1.227	-0.744	-0.761	-0.929	-0.849	-0.525	-0.409	-0.66	-0.702
BTN3A2	0.969	0.882	-0.41	-0.559	0.692	0.723	-0.145	-0.319	1.459	1.436	0.338	0.348	1.134	1.179	-1.01	-1.323	1.548	1.473	-0.125	-0.154	0.983	0.975	-1.193	-0.89	-0.372	-0.309	-0.845	-0.685	-1.169	-1.293	-1.535	-1.805
BTN3A3	1.105	1.092	-0.153	-0.162	0.748	0.765	-0.281	-0.561	1.381	1.407	0.316	0.216	1.163	1.186	-1.008	-1.251	1.542	1.547	0.149	0.222	0.731	0.763	-0.884	-1.046	-0.947	-0.788	-1.036	-1.265	-1.029	-0.786	-1.616	-1.52
C16orf47	1.222	0.443	-0.937	-1.044	1.028	0.433	-1.032	-0.007	1.686	0.541	-0.548	-0.433	0.466	0.85	0.435	1.359	1.409	0.072	-0.258	0.228	0.788	0.863	-0.405	-0.073	-0.101	-0.126	0.751	-1.582	-0.429	-0.837	-1.897	-2.867
C17orf50	1.172	0.804	0.797	-1.026	0.769	1.874	0.347	0.232	0.163	0.921	-2.141	-0.557	-2.141	-0.568	0.162	-0.095	-0.536	-0.552	-0.416	-2.141	-0.76	-1.298	-0.248	0.505	0.3	0.07	-0.024	0.152	0.828	0.56	1.112	1.736
C17orf62	0.123	0.784	-0.91	-0.802	-0.072	-0.064	-1.144	-1.353	0.74	0.884	-0.513	-0.629	1.401	0.95	-0.568	-0.967	1.065	1.451	-1.295	-1.606	1.864	1.674	0.289	0.066	0.974	1.03	0.187	-0.215	-1.188	-1.766	0.002	-0.392
C19orf66	0.878	0.952	-0.89	-0.689	0.763	0.841	-0.711	-0.612	1.429	1.458	-0.659	-0.545	1.19	1.25	-1.595	-1.274	1.366	1.396	-0.44	-0.647	1.267	1.297	-1.158	-1.42	-0.216	-0.174	-1.167	-1.253	0.153	0.321	-0.657	-0.452
C19orf71	1.144	0.472	-0.239	-1.071	-0.145	0.415	-2.792	-1.233	0.851	0.599	-0.49	-2.016	0.821	0.684	-1.09	-0.131	1.231	1.316	-0.248	-1.79	1.32	1.417	0.404	0.031	0.453	0.448	-0.037	0.461	-0.441	-0.716	-0.127	0.497
C1GALT1C1	0.287	0.401	-0.3	-0.583	0.423	0.353	-0.748	-0.231	1.143	0.964	0.452	0.086	0.623	0.868	-0.459	-0.355	1.485	1.087	-0.745	-0.163	1.072	1.188	0.042	0.014	0.572	0.351	0.426	0.291	-1.904	-1.83	-2.996	-1.814
C1QL1	-1.486	-0.999	0.124	0.258	-0.812	-1.196	1.621	1.545	0.021	-0.191	-0.001	-0.132	0.783	0.907	-0.234	-0.138	-1.59	-1.501	-1.92	-1.713	0.827	0.521	1.107	1.023	1.034	0.989	0.39	0.486	-0.943	-0.613	1.041	0.791
C3AR1	1.662	1.441	0.046	-1.249	1.105	1.045	-1.249	-1.249	0.572	0.958	-0.461	-0.287	0.914	1.44	-1.249	0.143	1.892	1.489	0.055	-0.213	0.278	-0.01	-1.249	-0.501	-1.249	0.219	-1.249	-1.249	-0.285	-0.081	-1.249	-0.181
C3orf38	0.161	-0.178	-0.741	-0.59	-0.056	0.087	-0.577	-0.531	1.045	1.287	-0.935	-0.388	0.496	1.013	-0.208	-0.423	1.465	1.475	-0.63	-0.861	1.244	1.239	0.631	0.342	0.881	0.745	0.307	0.376	-0.948	-0.582	-2.432	-2.716
C4orf32	0.344	0.44	-0.521	-0.963	0.268	0.242	0.184	-0.284	0.71	0.532	-1.757	-0.786	0.699	0.673	-0.153	-0.346	1.003	0.661	-1.133	-0.742	-0.287	-0.178	-0.977	-1.126	-1.345	-1.224	-0.906	-0.568	2.174	2.19	1.726	1.45
C5orf56	1.159	1.162	-0.8	-0.747	0.66	0.688	-0.597	-0.319	1.543	1.512	-0.326	-0.1	1.148	1.23	-0.828	-0.589	1.315	1.429	-0.246	-1.028	1.354	1.358	-0.826	-0.704	-0.55	-1.052	-1.231	-0.879	-0.267	-0.585	-1.234	-1.649
C6orf62	1.362	1.576	-0.46	-0.114	0.421	0.708	-1.133	-0.809	1.139	1.249	-1.378	-1.227	0.736	0.789	-0.205	-0.186	1.979	2.004	-1.124	-0.724	1.066	1.047	-0.394	-0.321	-0.85	-0.812	-0.542	-0.523	-0.488	-0.457	-1.187	-1.143
C9orf173	0.161	-1.07	1.654	1.428	-0.54	-0.929	0.941	0.889	0.092	-1.125	1.258	0.71	-0.462	-0.003	0.091	-0.287	-0.461	0.717	-0.315	-2.426	0.652	0.071	-2.426	0.405	-0.804	-0.373	-0.125	0.38	0.014	1.21	1.702	-1.031
CA13	0.371	0.536	-1.39	-2.849	0.028	-0.606	-1.73	-0.006	0.52	0.165	-1.559	-0.963	0.404	0.377	0.518	-0.92	1.016	0.42	0.132	-1.402	1.716	0.52	0.085	1.103	0.816	1.091	0.44	0.169	0.098	1.697	-0.694	-0.104
CALCOCO2	1.017	0.9	-0.286	-0.262	0.486	0.288	-0.834	-0.51	1.474	1.477	0.194	-0.002	1.286	1.105	-1.046	-0.879	1.419	1.485	-0.51	-0.554	1.039	0.986	-0.673	-0.366	0.076	-0.034	-0.147	-0.225	-1.507	-1.642	-2.059	-1.699
CAMK2D	1.12	1.056	0.206	0.238	0.651	0.6	0.548	0.208	1.407	1.407	0.356	0.258	0.685	0.735	-0.485	-0.614	1.492	1.422	0.088	0.035	0.168	0.06	-0.905	-1.033	-0.481	-0.432	-0.376	-0.577	-1.632	-1.883	-2.069	-2.253
CAMKK2	0.891	1.023	-1.014	-1.402	0.649	0.959	-1.156	-1.011	0.155	-0.783	-1.761	-2.12	-0.719	-0.808	0.831	0.692	1.829	1.94	0.724	1.236	0.017	-0.218	-0.773	-0.869	-0.058	0.148	-0.716	-0.275	0.674	0.475	0.663	0.777
CARD16	0.454	0.496	-0.812	-0.856	1.201	0.892	-0.235	-0.314	1.357	1.346	-0.118	0.479	1.275	1.162	-1.234	-1.011	1.71	1.715	0.143	-0.057	0.814	0.896	-0.594	-1.279	-1.03	-1.037	-0.79	-1.603	-0.399	0.004	-0.968	-1.603
CASP1	0.955	0.897	-0.588	-1.003	1.199	1.164	-0.238	-0.059	1.145	1.115	-0.36	-0.31	1.127	1.095	-1.594	-1.125	1.486	1.537	-0.319	0.006	1.07	1.099	-0.946	-1.172	-0.436	-0.65	-1.171	-0.809	-0.031	0.105	-1.594	-1.594
CASP7	0.651	0.696	-0.306	-0.536	0.396	0.466	-0.788	-0.778	1.198	1.238	-0.051	-0.026	0.905	0.931	-0.68	-0.626	1.203	1.246	-0.172	-0.187	0.973	1.033	-0.238	-0.465	0.527	0.683	0.157	0.147	-1.14	-0.949	-2.555	-2.954
CBR3	1.168	1.016	0.232	0.424	0.598	0.536	-0.564	-0.169	1.247	1.275	0.392	0.303	1.312	1.15	-0.615	-0.696	1.167	1.062	-0.083	-0.099	0.85	0.958	-0.448	-0.619	-0.995	-1.118	-0.677	-0.633	-1.183	-2.58	-1.692	-1.516
CCDC109B	0.864	0.997	-1.024	-1.251	0.579	0.632	-0.209	0.212	1.419	1.255	-0.305	-0.285	0.983	1.227	-0.588	-0.283	1.409	1.36	-1.121	-1.43	0.467	0.363	-0.72	-0.584	0.744	0.58	0.07	0.287	-0.577	-0.561	-2.159	-2.352
CCDC121	-0.792	-0.41	0.595	-0.159	-0.885	-0.741	0.624	1.634	-0.312	0.178	1.178	1.443	0.669	-0.429	0.404	1.345	-0.071	-0.641	-0.166	-0.03	0.972	-0.269	0.758	0.376	0.648	1.28	0.027	0.38	-1.505	-1.164	-2.618	-2.319
CCL8	1.791	1.548	-0.869	-0.869	0.966	1.676	-0.869	-0.869	0.684	1.58	-0.869	0.199	1.531	1.331	-0.869	-0.869	0.702	1.245	0.293	-0.869	0.52	0.506	-0.869	-0.869	-0.869	-0.869	-0.869	-0.869	0.2	-0.869	-0.869	-0.869
CCR1	1.601	1.685	0.218	-0.522	1.278	0.847	0.418	-0.421	1.317	1.132	-0.186	-0.39	1.615	1.669	0.039	0.032	-1.381	-0.231	-1.381	-0.532	0.865	0.727	-0.761	-0.448	-0.722	-0.179	-0.766	-1.381	0.003	-1.381	-1.381	-1.381
CD274	0.999	0.983	-0.523	-0.534	0.877	1.06	-0.246	-0.382	1.351	1.434	-0.299	-0.166	1.313	1.235	-0.656	-1.333	1.332	1.301	-0.428	-0.196	0.99	1.093	-1.186	-1.244	-1.434	-1.096	-1.296	-1.504	0.197	0.255	-0.989	-0.908
CD38	1.356	1.255	-0.713	-0.111	0.75	0.784	-0.103	-0.551	1.493	1.296	-0.109	-0.204	1.141	1.342	0.315	0.416	0.944	1.074	-0.668	-1.887	0.814	0.936	-0.328	-0.017	-1.887	-1.242	-1.278	-0.971	-0.748	-1.26	-0.819	-1.02
CDK17	1.497	1.002	0.344	-0.004	0.275	-0.069	-0.489	-0.711	0.883	0.576	-1.659	-2.048	1.388	1.05	-1.263	-1.181	0.872	0.934	-0.588	-0.734	1.807	1.879	0.371	0.849	-0.639	-0.745	-0.601	-0.38	-0.656	-0.99	-0.154	-0.813
